,mun_id,ec_group_name_english,year,plan,actual,plan_share,actual_share,change_plan_abs,change_actual_abs,change_plan_rel,change_actual_rel
0,70033,Administrative transfers from the budget from direct budget users to indirect budget users or between users of the budget at the same level and reserve funds,2011,15570.0,0.0,0.00130196247639,0.0,,,,
1,70033,Administrative transfers from the budget from direct budget users to indirect budget users or between users of the budget at the same level and reserve funds,2012,7350.0,0.0,0.000449722273551,0.0,-8220.0,0.0,-0.527938342967,
2,70033,Administrative transfers from the budget from direct budget users to indirect budget users or between users of the budget at the same level and reserve funds,2013,79660.0,0.0,0.00538082182158,0.0,72310.0,0.0,9.8380952381,
3,70033,Administrative transfers from the budget from direct budget users to indirect budget users or between users of the budget at the same level and reserve funds,2014,34140.0,0.0,0.00227157497195,0.0,-45520.0,0.0,-0.571428571429,
4,70033,Administrative transfers from the budget from direct budget users to indirect budget users or between users of the budget at the same level and reserve funds,2015,260000.0,,0.0164279973513,,225860.0,,6.61570005858,
5,70033,Compensation of employees,2011,2696600.0,2566520.0,0.225489532038,0.311476543869,,,,
6,70033,Compensation of employees,2012,3097080.0,3002080.0,0.189500116867,0.234947740782,400480.0,435560.0,0.148512942224,0.169708398921
7,70033,Compensation of employees,2013,3312520.0,3205900.0,0.223751944519,0.272593854798,215440.0,203820.0,0.0695622973898,0.0678929275702
8,70033,Compensation of employees,2014,3330460.0,3023610.0,0.221598991831,0.307926149296,17940.0,-182290.0,0.00541581635734,-0.0568607879223
9,70033,Compensation of employees,2015,3151460.0,,0.199123755895,,-179000.0,,-0.0537463293359,
10,70033,"Donations, grants and transfers",2011,853150.0,638080.0,0.0713403523912,0.0774383028817,,,,
11,70033,"Donations, grants and transfers",2012,1059220.0,904670.0,0.0648101804885,0.0708009688793,206070.0,266590.0,0.241540174647,0.417800275827
12,70033,"Donations, grants and transfers",2013,1103040.0,892460.0,0.0745074278442,0.0758848097736,43820.0,-12210.0,0.0413700647646,-0.0134966341318
13,70033,"Donations, grants and transfers",2014,956630.0,819620.0,0.063651340522,0.083470563494,-146410.0,-72840.0,-0.132733173774,-0.0816171032875
14,70033,"Donations, grants and transfers",2015,1452710.0,,0.0917889078162,,496080.0,,0.518570398169,
15,70033,Fixed assets,2011,4384930.0,1433390.0,0.366667586486,0.173958263803,,,,
16,70033,Fixed assets,2012,7515100.0,4718680.0,0.459824198362,0.369291692917,3130170.0,3285290.0,0.713847199385,2.29197217784
17,70033,Fixed assets,2013,4408560.0,3068760.0,0.297786540921,0.260933004102,-3106540.0,-1649920.0,-0.413373075541,-0.349657107496
18,70033,Fixed assets,2014,3282990.0,1250580.0,0.218440477949,0.127359773181,-1125570.0,-1818180.0,-0.255314660569,-0.59248035037
19,70033,Fixed assets,2015,3828560.0,,0.241906052074,,545570.0,,0.166180829061,
20,70033,Interest paid and the accompanying costs of borrowing,2011,73600.0,73220.0,0.00615442763405,0.00888608409134,,,,
